ts_utc,symbol,round_id,price,price_change,price_change_pct,seconds_since_last,updated_at_utc
2026-03-31T08:40:43,ETH,55340232221132099550,2042.77746,0.0,0.0,,08:40:19
2026-03-31T08:40:43,BTC,55340232221132071622,66983.05,0.0,0.0,,08:40:21
2026-03-31T08:40:43,SOL,36893488147423037957,82.67159139,0.0,0.0,,08:40:41
2026-03-31T08:40:43,XRP,36893488147422507682,1.31715,0.0,0.0,,08:40:35
2026-03-31T08:40:52,ETH,55340232221132099551,2045.2875,2.51004,0.122874,30,08:40:49
2026-03-31T08:41:01,BTC,55340232221132071623,66971.78,-11.27,-0.016825,36,08:40:57
2026-03-31T08:41:11,XRP,36893488147422507683,1.31717426,2.4e-05,0.001842,34,08:41:09
2026-03-31T08:41:18,SOL,36893488147423037958,82.61740597,-0.054185,-0.065543,34,08:41:15
2026-03-31T08:41:27,ETH,55340232221132099552,2043.23173,-2.05577,-0.100513,34,08:41:23
2026-03-31T08:41:34,BTC,55340232221132071624,66907.68,-64.1,-0.095712,34,08:41:31
2026-03-31T08:41:46,XRP,36893488147422507684,1.31483468,-0.00234,-0.177621,32,08:41:41
2026-03-31T08:41:49,SOL,36893488147423037959,82.5739724,-0.043434,-0.052572,32,08:41:47
2026-03-31T08:41:58,ETH,55340232221132099553,2042.0941,-1.13763,-0.055678,32,08:41:55
2026-03-31T08:42:05,BTC,55340232221132071625,66902.6075926,-5.072407,-0.007581,32,08:42:03
2026-03-31T08:42:21,XRP,36893488147422507685,1.3127867,-0.002048,-0.15576,34,08:42:15
2026-03-31T08:42:24,ETH,55340232221132099554,2038.6822,-3.4119,-0.167078,22,08:42:17
2026-03-31T08:42:26,SOL,36893488147423037960,82.45895891,-0.115013,-0.139285,34,08:42:21
2026-03-31T08:42:28,BTC,55340232221132071626,66813.97209,-88.635503,-0.132484,22,08:42:25
2026-03-31T08:42:49,XRP,36893488147422507686,1.31286,7.3e-05,0.005584,32,08:42:47
2026-03-31T08:42:57,SOL,36893488147423037961,82.491558,0.032599,0.039534,32,08:42:53
2026-03-31T08:43:01,BTC,55340232221132071627,66817.72927993,3.75719,0.005623,34,08:42:59
2026-03-31T08:43:06,ETH,55340232221132099555,2038.41915,-0.26305,-0.012903,44,08:43:01
2026-03-31T08:43:24,XRP,36893488147422507687,1.3131727,0.000313,0.023818,34,08:43:21
2026-03-31T08:43:27,SOL,36893488147423037962,82.46998,-0.021578,-0.026158,34,08:43:27
2026-03-31T08:43:34,BTC,55340232221132071628,66855.439,37.70972,0.056437,32,08:43:31
2026-03-31T08:43:36,ETH,55340232221132099556,2040.74,2.32085,0.113855,34,08:43:35
2026-03-31T08:43:55,XRP,36893488147422507688,1.313598,0.000425,0.032387,32,08:43:53
2026-03-31T08:44:09,BTC,55340232221132071629,66875.36671928,19.927719,0.029807,34,08:44:05
2026-03-31T08:44:11,ETH,55340232221132099557,2041.494,0.754,0.036947,32,08:44:07
2026-03-31T08:44:15,SOL,36893488147423037963,82.47414527,0.004165,0.005051,44,08:44:11
2026-03-31T08:44:30,XRP,36893488147422507689,1.31293472,-0.000663,-0.050493,34,08:44:27
2026-03-31T08:44:42,BTC,55340232221132071630,66832.36,-43.006719,-0.064309,34,08:44:39
2026-03-31T08:44:44,ETH,55340232221132099558,2040.3925,-1.1015,-0.053956,34,08:44:41
2026-03-31T08:44:45,SOL,36893488147423037964,82.37461,-0.099535,-0.120687,32,08:44:43
2026-03-31T08:45:00,XRP,36893488147422507690,1.31256307,-0.000372,-0.028307,32,08:44:59
2026-03-31T08:45:14,BTC,55340232221132071631,66786.00344539,-46.356555,-0.069362,32,08:45:11
2026-03-31T08:45:17,ETH,55340232221132099559,2038.73131,-1.66119,-0.081415,32,08:45:13
2026-03-31T08:45:23,SOL,36893488147423037965,82.34133678,-0.033273,-0.040393,34,08:45:17
2026-03-31T08:45:38,XRP,36893488147422507691,1.31154146,-0.001022,-0.077833,34,08:45:33
2026-03-31T08:45:50,ETH,55340232221132099560,2034.64964947,-4.081661,-0.200206,34,08:45:47
2026-03-31T08:45:50,BTC,55340232221132071632,66632.6,-153.403445,-0.229694,36,08:45:47
2026-03-31T08:45:51,SOL,36893488147423037966,82.19867241,-0.142664,-0.17326,32,08:45:49
2026-03-31T08:46:09,XRP,36893488147422507692,1.3108468,-0.000695,-0.052965,32,08:46:05
2026-03-31T08:46:23,ETH,55340232221132099561,2036.94,2.290351,0.112567,32,08:46:19
2026-03-31T08:46:24,SOL,36893488147423037967,82.27011,0.071438,0.086908,34,08:46:23
2026-03-31T08:46:32,BTC,55340232221132071633,66665.03,32.43,0.04867,42,08:46:29
2026-03-31T08:46:42,XRP,36893488147422507693,1.311506,0.000659,0.050288,34,08:46:39
2026-03-31T08:46:57,ETH,55340232221132099562,2037.01,0.07,0.003437,34,08:46:53
2026-03-31T08:47:03,SOL,36893488147423037968,82.32,0.04989,0.060642,32,08:46:55
2026-03-31T08:47:07,BTC,55340232221132071634,66739.68372144,74.653721,0.111983,32,08:47:01
2026-03-31T08:47:14,XRP,36893488147422507694,1.3122442,0.000738,0.056286,32,08:47:11
2026-03-31T08:47:28,ETH,55340232221132099563,2039.5393,2.5293,0.124167,32,08:47:25
2026-03-31T08:47:32,SOL,36893488147423037969,82.452647,0.132647,0.161136,34,08:47:29
2026-03-31T08:47:39,BTC,55340232221132071635,66826.13465896,86.450938,0.129535,34,08:47:35
2026-03-31T08:47:57,XRP,36893488147422507695,1.3140046,0.00176,0.134152,44,08:47:55
2026-03-31T08:48:02,ETH,55340232221132099564,2040.9298,1.3905,0.068177,34,08:47:59
2026-03-31T08:48:03,SOL,36893488147423037970,82.46443777,0.011791,0.0143,32,08:48:01
2026-03-31T08:48:12,BTC,55340232221132071636,66804.67,-21.464659,-0.03212,32,08:48:07
2026-03-31T08:48:33,XRP,36893488147422507696,1.31331,-0.000695,-0.052861,34,08:48:29
2026-03-31T08:48:35,ETH,55340232221132099565,2040.47513,-0.45467,-0.022278,32,08:48:31
2026-03-31T08:48:38,SOL,36893488147423037971,82.40666297,-0.057775,-0.07006,34,08:48:35
2026-03-31T08:48:52,BTC,55340232221132071637,66803.13165045,-1.53835,-0.002303,42,08:48:49
2026-03-31T08:49:05,XRP,36893488147422507697,1.31341216,0.000102,0.007779,32,08:49:01
2026-03-31T08:49:07,ETH,55340232221132099566,2042.02582048,1.55069,0.075997,34,08:49:05
2026-03-31T08:49:12,SOL,36893488147423037972,82.466662,0.059999,0.072808,34,08:49:09
2026-03-31T08:49:28,BTC,55340232221132071638,66858.8041142,55.672464,0.083338,36,08:49:25
2026-03-31T08:49:38,XRP,36893488147422507698,1.31411842,0.000706,0.053773,34,08:49:35
2026-03-31T08:49:40,ETH,55340232221132099567,2041.41,-0.61582,-0.030157,32,08:49:37
2026-03-31T08:49:42,SOL,36893488147423037973,82.45,-0.016662,-0.020205,32,08:49:41
2026-03-31T08:49:58,BTC,55340232221132071639,66840.70212187,-18.101992,-0.027075,32,08:49:57
2026-03-31T08:50:14,XRP,36893488147422507699,1.31391526,-0.000203,-0.01546,32,08:50:07
2026-03-31T08:50:15,ETH,55340232221132099568,2041.74026407,0.330264,0.016178,34,08:50:11
2026-03-31T08:50:18,SOL,36893488147423037974,82.43682381,-0.013176,-0.015981,34,08:50:15
2026-03-31T08:50:31,BTC,55340232221132071640,66841.61,0.907878,0.001358,32,08:50:29
2026-03-31T08:50:46,ETH,55340232221132099569,2040.85447467,-0.885789,-0.043384,32,08:50:43
2026-03-31T08:50:52,SOL,36893488147423037975,82.44251448,0.005691,0.006903,32,08:50:47
2026-03-31T08:50:56,XRP,36893488147422507700,1.3141469,0.000232,0.01763,44,08:50:51
2026-03-31T08:51:07,BTC,55340232221132071641,66843.7881514,2.178151,0.003259,34,08:51:03
2026-03-31T08:51:19,ETH,55340232221132099570,2040.5698,-0.284675,-0.013949,34,08:51:17
2026-03-31T08:51:23,SOL,36893488147423037976,82.43038,-0.012134,-0.014719,34,08:51:21
2026-03-31T08:51:27,XRP,36893488147422507701,1.31402,-0.000127,-0.009656,34,08:51:25
2026-03-31T08:51:39,BTC,55340232221132071642,66822.40509816,-21.383053,-0.03199,34,08:51:37
2026-03-31T08:51:50,ETH,55340232221132099571,2040.52402404,-0.045776,-0.002243,32,08:51:49
2026-03-31T08:51:54,SOL,36893488147423037977,82.43664783,0.006268,0.007604,32,08:51:53
2026-03-31T08:52:00,XRP,36893488147422507702,1.31401344,-7e-06,-0.000499,32,08:51:57
2026-03-31T08:52:12,BTC,55340232221132071643,66823.77901,1.373912,0.002056,32,08:52:09
2026-03-31T08:52:27,ETH,55340232221132099572,2038.05737,-2.466654,-0.120883,34,08:52:23
2026-03-31T08:52:29,SOL,36893488147423037978,82.35058964,-0.086058,-0.104393,34,08:52:27
2026-03-31T08:52:40,XRP,36893488147422507703,1.31288659,-0.001127,-0.085756,40,08:52:37
2026-03-31T08:52:45,BTC,55340232221132071644,66819.35,-4.42901,-0.006628,34,08:52:43
2026-03-31T08:52:48,ETH,55340232221132099573,2040.2665,2.20913,0.108394,22,08:52:45
2026-03-31T08:53:00,SOL,36893488147423037979,82.35058,-1e-05,-1.2e-05,32,08:52:59
2026-03-31T08:53:18,XRP,36893488147422507704,1.3136,0.000713,0.054339,38,08:53:15
2026-03-31T08:53:18,BTC,55340232221132071645,66817.08276155,-2.267238,-0.003393,32,08:53:15
2026-03-31T08:53:19,ETH,55340232221132099574,2040.08,-0.1865,-0.009141,32,08:53:17
2026-03-31T08:53:36,SOL,36893488147423037980,82.35926,0.00868,0.01054,34,08:53:33
2026-03-31T08:53:56,XRP,36893488147422507705,1.31405,0.00045,0.034257,32,08:53:47
2026-03-31T08:53:56,BTC,55340232221132071646,66854.80794,37.725178,0.05646,34,08:53:49
2026-03-31T08:53:57,ETH,55340232221132099575,2041.0373,0.9573,0.046925,34,08:53:51
2026-03-31T08:54:06,SOL,36893488147423037981,82.37585,0.01659,0.020143,32,08:54:05
2026-03-31T08:54:26,XRP,36893488147422507706,1.31379,-0.00026,-0.019786,34,08:54:21
2026-03-31T08:54:27,BTC,55340232221132071647,66858.29162,3.48368,0.005211,32,08:54:21
2026-03-31T08:54:27,ETH,55340232221132099576,2040.75411666,-0.283183,-0.013874,32,08:54:23
2026-03-31T08:54:42,SOL,36893488147423037982,82.31597399,-0.059876,-0.072686,34,08:54:39
2026-03-31T08:54:59,XRP,36893488147422507707,1.31354,-0.00025,-0.019029,34,08:54:55
2026-03-31T08:55:00,BTC,55340232221132071648,66843.16,-15.13162,-0.022632,34,08:54:55
2026-03-31T08:55:00,ETH,55340232221132099577,2040.41188624,-0.34223,-0.01677,34,08:54:57
2026-03-31T08:55:17,SOL,36893488147423037983,82.2803,-0.035674,-0.043338,34,08:55:13
2026-03-31T08:55:28,BTC,55340232221132071649,66839.58,-3.58,-0.005356,32,08:55:27
2026-03-31T08:55:31,ETH,55340232221132099578,2041.16450302,0.752617,0.036886,32,08:55:29
2026-03-31T08:55:40,XRP,36893488147422507708,1.31410318,0.000563,0.042875,42,08:55:37
2026-03-31T08:55:50,SOL,36893488147423037984,82.2997,0.0194,0.023578,32,08:55:45
2026-03-31T08:56:04,ETH,55340232221132099579,2039.78034723,-1.384156,-0.067812,34,08:56:03
2026-03-31T08:56:19,SOL,36893488147423037985,82.22702768,-0.072672,-0.088302,32,08:56:17
2026-03-31T08:56:20,BTC,55340232221132071650,66790.941,-48.639,-0.07277,44,08:56:11
2026-03-31T08:56:24,XRP,36893488147422507709,1.31292609,-0.001177,-0.089574,44,08:56:21
2026-03-31T08:56:39,ETH,55340232221132099580,2038.58630297,-1.194044,-0.058538,34,08:56:37
2026-03-31T08:56:50,BTC,55340232221132071651,66742.30457,-48.63643,-0.072819,34,08:56:45
2026-03-31T08:56:52,SOL,36893488147423037986,82.254291,0.027263,0.033156,34,08:56:51
2026-03-31T08:56:57,XRP,36893488147422507710,1.31329,0.000364,0.027717,34,08:56:55
2026-03-31T08:57:12,ETH,55340232221132099581,2039.34,0.753697,0.036972,32,08:57:09
2026-03-31T08:57:21,BTC,55340232221132071652,66759.42119,17.11662,0.025646,34,08:57:19
2026-03-31T08:57:27,SOL,36893488147423037987,82.2536403,-0.000651,-0.000791,34,08:57:25
2026-03-31T08:57:30,XRP,36893488147422507711,1.3132,-9e-05,-0.006853,34,08:57:29
2026-03-31T08:57:45,ETH,55340232221132099582,2038.76,-0.58,-0.028441,34,08:57:43
2026-03-31T08:57:54,BTC,55340232221132071653,66732.66,-26.76119,-0.040086,32,08:57:51
2026-03-31T08:57:58,SOL,36893488147423037988,82.224734,-0.028906,-0.035143,32,08:57:57
2026-03-31T08:58:02,XRP,36893488147422507712,1.31273,-0.00047,-0.03579,32,08:58:01
2026-03-31T08:58:18,ETH,55340232221132099583,2038.63161806,-0.128382,-0.006297,32,08:58:15
2026-03-31T08:58:25,BTC,55340232221132071654,66735.88764,3.22764,0.004837,32,08:58:23
2026-03-31T08:58:31,SOL,36893488147423037989,82.2302,0.005466,0.006648,32,08:58:29
2026-03-31T08:58:37,XRP,36893488147422507713,1.3127889,5.9e-05,0.004487,34,08:58:35
2026-03-31T08:58:53,ETH,55340232221132099584,2039.26,0.628382,0.030824,34,08:58:49
2026-03-31T08:59:00,BTC,55340232221132071655,66770.33677,34.44913,0.05162,34,08:58:57
2026-03-31T08:59:07,SOL,36893488147423037990,82.24412108,0.013921,0.016929,34,08:59:03
2026-03-31T08:59:12,XRP,36893488147422507714,1.3131,0.000311,0.023698,32,08:59:07
2026-03-31T08:59:32,ETH,55340232221132099585,2039.39786418,0.137864,0.006761,32,08:59:21
2026-03-31T08:59:33,BTC,55340232221132071656,66761.69447,-8.6423,-0.012943,32,08:59:29
2026-03-31T08:59:38,SOL,36893488147423037991,82.21,-0.034121,-0.041488,32,08:59:35
2026-03-31T08:59:49,XRP,36893488147422507715,1.31303,-7e-05,-0.005331,34,08:59:41
2026-03-31T08:59:57,ETH,55340232221132099586,2038.80593544,-0.591929,-0.029025,34,08:59:55
2026-03-31T09:00:07,BTC,55340232221132071657,66741.28,-20.41447,-0.030578,34,09:00:03
2026-03-31T09:00:14,SOL,36893488147423037992,82.19218723,-0.017813,-0.021667,34,09:00:09
2026-03-31T09:00:19,XRP,36893488147422507716,1.31316,0.00013,0.009901,32,09:00:13
2026-03-31T09:00:30,ETH,55340232221132099587,2038.21723,-0.588705,-0.028875,32,09:00:27
2026-03-31T09:00:39,BTC,55340232221132071658,66748.35,7.07,0.010593,32,09:00:35
2026-03-31T09:00:45,SOL,36893488147423037993,82.189,-0.003187,-0.003878,34,09:00:43
2026-03-31T09:00:49,XRP,36893488147422507717,1.3133666,0.000207,0.015733,34,09:00:47
2026-03-31T09:01:02,ETH,55340232221132099588,2038.944243,0.727013,0.035669,34,09:01:01
2026-03-31T09:01:12,BTC,55340232221132071659,66737.6,-10.75,-0.016105,34,09:01:09
2026-03-31T09:01:18,SOL,36893488147423037994,82.22708158,0.038082,0.046334,32,09:01:15
2026-03-31T09:01:20,XRP,36893488147422507718,1.31323612,-0.00013,-0.009935,32,09:01:19
